Station,EArea,x_nad83_utm17n,y_nad83_utm17n,wca1,wca2a,wca2b,wca3a,wca3b,l67ext,pw,other
G-1251,Everglades National Park,543705.7,2800572.4,0,0,0,0,0,0,0,1
G-1488,Pennsuco Wetlands,551887,2855689,0,0,0,0,0,0,1,0
G-3272,Everglades National Park,546274.5,2838660,0,0,0,0,0,1,0,1
G-3437,Everglades National Park,543483,2827804,0,0,0,0,0,1,0,1
G-3567,Pennsuco Wetlands,556509,2864737,0,0,0,0,0,0,1,0
G-3574,Everglades National Park,550358,2847691,0,0,0,0,0,1,0,0
G-3575,Everglades National Park,550547,2842792,0,0,0,0,0,1,0,1
G-3576,Everglades National Park,548717,2847627,0,0,0,0,0,1,0,0
G-3577,Everglades National Park,550109,2842845,0,0,0,0,0,1,0,1
G-3578,Everglades National Park,548827,2842859,0,0,0,0,0,1,0,1
G-3626,Everglades National Park,549068,2833537,0,0,0,0,0,1,0,1
G-3628,Everglades National Park,546730,2830818,0,0,0,0,0,1,0,1
G-3676,Pennsuco Wetlands,557763,2852293,0,0,0,0,0,0,1,0
G-3761,Pennsuco Wetlands,556768,2858275,0,0,0,0,0,0,1,0
G-3818,Pennsuco Wetlands,554996.2523,2858473.611,0,0,0,0,0,0,1,0
G-596,Everglades National Park,548990,2835686,0,0,0,0,0,1,0,1
G-620,Everglades National Park,523441.4,2837621.9,0,0,0,0,0,0,0,1
G-975,Pennsuco Wetlands,554455.2332,2861399.992,0,0,0,0,0,0,1,0
JOEBAY2E,Coast of Florida Bay,547898.04536,2790715.76319,0,0,0,0,0,0,0,1
MCCORMICK,Coast of Florida Bay,527034.01866,2783566.31699,0,0,0,0,0,0,0,1
MO-214,Everglades National Park,497463.68,2832744.37,0,0,0,0,0,0,0,1
MO-215,Everglades National Park,515257.06,2817266.59,0,0,0,0,0,0,0,1
MO-216,Big Cypress National Preserve,483516,2845679,0,0,0,0,0,0,0,1
MUD,Coast of Florida Bay,541970.27471,2787541.30346,0,0,0,0,0,0,0,1
NESRS1,Everglades National Park,536672.91666,2841631.53127,0,0,0,0,0,1,0,0
NESRS2,Everglades National Park,544745.07573,2844886.15957,0,0,0,0,0,1,0,0
NESRS4,Everglades National Park,534848.00743,2836028.27295,0,0,0,0,0,1,0,1
NORTH_CA1,Water Conservation Area 1,564356.19402,2941626.1392,1,0,0,0,0,0,0,0
S10A_UP,L39 Canal,568592.5526,2915744.44244,1,0,0,0,0,0,0,0
S10A_DN,Water Conservation Area 2A,568563.44817,2915633.12034,0,1,0,0,0,0,0,0
S10C_UP,L39 Canal,564597.90737,2917008.86656,1,0,0,0,0,0,0,0
S10C_DN,Water Conservation Area 2A,564583.85552,2916947.98575,0,1,0,0,0,0,0,0
S10D_UP,L39 Canal,561683.29865,2918858.31254,1,0,0,0,0,0,0,0
S10D_DN,Water Conservation Area 2A,561635.81371,2918827.89572,0,1,0,0,0,0,0,0
S11A_UP,Water Conservation Area 2A,555115.46094,2895405.33501,0,1,0,0,0,0,0,0
S11A_DN,Water Conservation Area 3A,555030.78209,2895390.86719,0,0,0,1,0,0,0,0
S11B_UP,Water Conservation Area 2A,554557.92223,2898235.15444,0,1,0,0,0,0,0,0
S11B_DN,Water Conservation Area 3A,554456.54517,2898221.27992,0,0,0,1,0,0,0,0
S11C_UP,Water Conservation Area 2A,553950.85712,2901225.21382,0,1,0,0,0,0,0,0
S11C_DN,Water Conservation Area 3A,553853.04704,2901210.42174,0,0,0,1,0,0,0,0
S12A_UP,Tamiami Canal,517940.03417,2849363.57371,0,0,0,1,0,0,0,0
S12A_DN,Everglades National Park,517941.19781,2849281.22984,0,0,0,0,0,0,0,1
S12B_UP,Tamiami Canal,523115.61914,2849372.19438,0,0,0,1,0,0,0,0
S12B_DN,Everglades National Park,523113.30359,2849299.58988,0,0,0,0,0,0,0,1
S12C_UP,Tamiami Canal,527382.65301,2849386.19916,0,0,0,1,0,0,0,0
S12C_DN,Everglades National Park,527381.62705,2849310.26192,0,0,0,0,0,0,0,1
S12D_UP,Tamiami Canal,531912.8957,2849401.65809,0,0,0,1,0,0,0,0
S12D_DN,Everglades National Park,531907.94172,2849325.47991,0,0,0,0,0,0,0,1
S18C_DN,C111 Canal,547801.27152,2800571.61853,0,0,0,0,0,0,0,1
SITE_17,Water Conservation Area 2A,558813.96664,2907573.82769,0,1,0,0,0,0,0,0
SITE_19,Water Conservation Area 2A,569272.03782,2907133.42743,0,1,0,0,0,0,0,0
SITE_62,Water Conservation Area 3A,524865.1692,2895066.72984,0,0,0,1,0,0,0,0
SITE_63,Water Conservation Area 3A,546872.50099,2896696.4028,0,0,0,1,0,0,0,0
SITE_64,Water Conservation Area 3A,533109.96247,2873028.91344,0,0,0,1,0,0,0,0
SITE_65,Water Conservation Area 3A,528087.22889,2855206.63528,0,0,0,1,0,0,0,0
SITE_69W,Water Conservation Area 3A,541144.94,2865433.8,0,0,0,1,0,0,0,0
SITE_7,Water Conservation Area 1,565061.87848,2933415.3861,1,0,0,0,0,0,0,0
SITE_71,Water Conservation Area 3B,544405.4667,2863003.27872,0,0,0,0,1,0,0,0
SITE_76,Water Conservation Area 3B,551781.67653,2876657.8088,0,0,0,0,1,0,0,0
SITE_8C,Water Conservation Area 1,577474.79763,2931309.20303,1,0,0,0,0,0,0,0
SITE_8T,Water Conservation Area 1,576266.93,2931241.7,1,0,0,0,0,0,0,0
SITE_9,Water Conservation Area 1,570077.5333,2927288.80073,1,0,0,0,0,0,0,0
SITE_99,Water Conservation Area 2B,563276.52689,2891043.99952,0,0,1,0,0,0,0,0
SOUTH_CA1,Water Conservation Area 1,565752.40847,2922897.2664,1,0,0,0,0,0,0,0
SRS1,Water Conservation Area 3B,542265.46141,2853460.2802,0,0,0,0,1,0,0,0
STILLWATER,Coast of Florida Bay,551726.65056,2790343.28005,0,0,0,0,0,0,0,1
Tamiami_Canal_40-Mile,Big Cypress National Preserve,501948,2859226,0,0,0,0,0,0,0,1
Tamiami_Canal_Monroe,Big Cypress National Preserve,473771,2863234,0,0,0,0,0,0,0,1
TAYLORRIVER,Coast of Florida Bay,536376.84396,2786171.79607,0,0,0,0,0,0,0,1
TI-9,Water Conservation Area 3B,540141.95423,2857718.58413,0,0,0,0,1,0,0,0
TROUT,Coast of Florida Bay,547003.17311,2788849.66495,0,0,0,0,0,0,0,1
TAYLOR_UP,Coast of Florida Bay,535475.27983,2788445.51219,0,0,0,0,0,0,0,1
W11,Water Conservation Area 3A,525031.57495,2869370.75538,0,0,0,1,0,0,0,0
W18,Water Conservation Area 3A,522127.95393,2875917.89173,0,0,0,1,0,0,0,0
W2,Water Conservation Area 3A,519158.29039,2853518.55355,0,0,0,1,0,0,0,0
WEST_HIGHWAY,Coast of Florida Bay,555693.23372,2791958.468,0,0,0,0,0,0,0,1
